REF_AREA,Geographic area,Regional group,Indicator,Sex,Wealth Quintile,Series Name,Series Year,Reference Date,Observation Value,Lower Bound,Upper Bound,Standard Error,Country notes,Observation Status,Unit of measure,Series Type,Series Category,Series Method,Age Group of Women,Time Since First Birth,Definition,Interval
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,Demographic and Health Survey 1987 (Direct),1987,1964.5,48.74,NA,NA,10.63,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,Demographic and Health Survey 1987 (Direct),1987,1969.5,50.82,NA,NA,7.94,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,Demographic and Health Survey 1987 (Direct),1987,1974.5,43.2,NA,NA,5.36,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,Demographic and Health Survey 1987 (Direct),1987,1979.5,43.39,NA,NA,4.12,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,Demographic and Health Survey 1987 (Direct),1987,1984.5,35.27,NA,NA,3.59,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1964.5,49.74987662,38.86655123,64.06381859,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1965.5,49.90029902,40.18063815,62.47615498,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1966.5,49.95244088,41.05502959,61.44003426,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1967.5,49.87207027,41.64268893,60.65701046,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1968.5,49.93796193,42.08067514,60.11190837,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1969.5,49.96911529,42.29785441,59.68635381,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1970.5,49.9224764,42.36042765,59.10101772,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1971.5,49.74025861,42.3233048,58.77919217,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1972.5,50.70880765,43.39598981,59.4487362,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1973.5,49.32266316,42.189815780000004,57.86880086,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1974.5,49.06908338,42.00139875,57.50366381,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1975.5,48.76361704,41.77949167,56.92485264,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1976.5,48.38830383,41.48300271,56.51345537,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1977.5,47.91199253,41.15191425,55.94301182,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1978.5,47.26441987,40.76807765,54.96888344,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1979.5,46.49790643,40.119099,53.8847539,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1980.5,45.63142027,39.34222586,52.77302329,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1981.5,44.70220028,38.68703315,51.67400167,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1982.5,43.6436888,37.64893026,50.42870106,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1983.5,42.53817388,36.63642556,49.29636426,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1984.5,41.54460126,35.57919806,48.26092153,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1985.5,40.73343357,34.74222261,47.30698271,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1986.5,40.14615969,34.14708795,46.66414083,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1987.5,39.71600517,33.87409007,46.16367415,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1988.5,39.45360972,33.79410814,45.69898367,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1989.5,39.38284688,33.72162342,45.60959122,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1990.5,39.34837181,33.64420095,45.57961836,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1991.5,39.31547386,33.60737436,45.58974133,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1992.5,39.27452283,33.48132065,45.57274446,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1993.5,39.5491279,33.77279723,45.8625397,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1994.5,38.98981129,33.32183273,45.24649628,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1995.5,38.78362401,33.16831254,44.96018764,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1996.5,38.46992032,32.93740181,44.41069906,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1997.5,38.08342118,32.74537347,43.90834214,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1998.5,37.61256945,32.39602947,43.16199857,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,1999.5,37.1338331,31.94154516,42.5460173,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2000.5,36.56171218,31.50006505,41.94840131,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2001.5,35.99725854,30.98685206,41.34981725,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2002.5,35.38910255,30.43717196,40.78768056,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2003.5,34.65501928,29.86586764,40.00922387,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2004.5,33.9055273,29.05903902,39.28231911,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2005.5,33.03291669,28.36953566,38.35800926,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2006.5,32.10774993,27.60802069,37.27874164,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2007.5,31.0828979,26.62667693,36.2488228,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2008.5,30.07563272,25.68986474,35.14914482,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2009.5,29.08076273,24.57006539,34.1426636,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2010.5,28.04370735,23.49530787,33.21148689,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2011.5,27.09003288,22.41412241,32.47434582,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2012.5,26.14070636,21.19626253,31.99223302,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2013.5,25.25321986,19.97763693,31.66039196,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2014.5,24.40509334,18.68740667,31.44714869,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2015.5,23.66572294,17.5905711,31.58366635,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2016.5,23.00023649,16.54196279,31.73060517,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2017.5,22.41440708,15.61165276,31.97003944,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2018.5,21.85606851,14.75671968,32.33080258,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2019.5,21.39916074,13.95751364,32.79095819,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2020.5,20.92955431,13.2256663,33.15656566,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2021.5,20.48286313,12.54548773,33.30181287,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2022.5,20.05814419,11.87263255,33.58663604,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Neonatal mortality rate,Total,Total,UN IGME estimate,2023,2023.5,19.60302646,11.25045876,33.99467617,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Multiple Indicator Cluster Survey 2000 (Indirect),2000,1989.1,167.6293,NA,NA,16.15152,NA,Included in IGME,"Deaths per 1,000 live births",Indirect,MICS,Survey/Census with Summary Birth Histories,NA,NA,NA,NA
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Multiple Indicator Cluster Survey 2000 (Indirect),2000,1991.5,159.8546,NA,NA,13.91106,NA,Included in IGME,"Deaths per 1,000 live births",Indirect,MICS,Survey/Census with Summary Birth Histories,NA,NA,NA,NA
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Multiple Indicator Cluster Survey 2000 (Indirect),2000,1993.6,166.9109,NA,NA,15.05422,NA,Excluded from IGME,"Deaths per 1,000 live births",Indirect,MICS,Survey/Census with Summary Birth Histories,NA,NA,NA,NA
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Multiple Indicator Cluster Survey 2000 (Indirect),2000,1995.7,177.1552,NA,NA,18.72741,NA,Included in IGME,"Deaths per 1,000 live births",Indirect,MICS,Survey/Census with Summary Birth Histories,NA,NA,NA,NA
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Multiple Indicator Cluster Survey 2000 (Indirect),2000,1998.2,148.7956,NA,NA,19.74908,NA,Excluded from IGME,"Deaths per 1,000 live births",Indirect,MICS,Survey/Census with Summary Birth Histories,NA,NA,NA,NA
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Demographic and Health Survey 2016-2017 (Direct),2016-2017,1993.5,169.6002,NA,NA,30.02566,NA,Excluded from IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Demographic and Health Survey 2016-2017 (Direct),2016-2017,1998.5,177.7501,NA,NA,20.02514,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Demographic and Health Survey 2016-2017 (Direct),2016-2017,2003.5,123.4754,NA,NA,19.60634,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Demographic and Health Survey 2016-2017 (Direct),2016-2017,2008.5,83.88303,NA,NA,12.89466,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Demographic and Health Survey 2016-2017 (Direct),2016-2017,2013.5,74.19303,NA,NA,12.21862,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Malaria Indicator Survey 2012 (Indirect),2012,2001.6,113.6663,NA,NA,17.71063,NA,Included in IGME,"Deaths per 1,000 live births",Indirect,MIS,Survey/Census with Summary Birth Histories,NA,NA,NA,NA
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Malaria Indicator Survey 2012 (Indirect),2012,2003.9,154.3386,NA,NA,17.06059,NA,Included in IGME,"Deaths per 1,000 live births",Indirect,MIS,Survey/Census with Summary Birth Histories,NA,NA,NA,NA
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Malaria Indicator Survey 2012 (Indirect),2012,2005.1,154.6274,NA,NA,20.44246,NA,Included in IGME,"Deaths per 1,000 live births",Indirect,MIS,Survey/Census with Summary Birth Histories,NA,NA,NA,NA
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Malaria Indicator Survey 2012 (Indirect),2012,2006,111.6999,NA,NA,10.81949,NA,Included in IGME,"Deaths per 1,000 live births",Indirect,MIS,Survey/Census with Summary Birth Histories,NA,NA,NA,NA
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Malaria Indicator Survey 2012 (Indirect),2012,2007,95.22254,NA,NA,10.95442,NA,Included in IGME,"Deaths per 1,000 live births",Indirect,MIS,Survey/Census with Summary Birth Histories,NA,NA,NA,NA
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Malaria Indicator Survey 2012 (Indirect),2012,2008.3,78.1549,NA,NA,17.30667,NA,Excluded from IGME,"Deaths per 1,000 live births",Indirect,MIS,Survey/Census with Summary Birth Histories,NA,NA,NA,NA
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Enquete menages pour le suivi et l'evaluation de l'impact de l'appui au systeme de remboursement du Paquet Minimum des Services de sante 2012 (Indirect),2012,2011.5,83,NA,NA,NA,NA,Included in IGME,"Deaths per 1,000 live births",Indirect,Others,Survey/Census with Summary Birth Histories,NA,NA,NA,NA
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Demographic and Health Survey 2010-2011 (Direct),2010-2011,1987.5,182.92,NA,NA,43.32,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Demographic and Health Survey 2010-2011 (Direct),2010-2011,1992.5,173.39,NA,NA,37.91,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Demographic and Health Survey 2010-2011 (Direct),2010-2011,1997.5,189.48,NA,NA,42.83,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Demographic and Health Survey 2010-2011 (Direct),2010-2011,2002.5,166.68,NA,NA,38.24,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Demographic and Health Survey 2010-2011 (Direct),2010-2011,2007.5,93.53,NA,NA,15.45,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Demographic and Health Survey 1987 (Direct),1987,1964.5,206.6961,NA,NA,29.90141,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Demographic and Health Survey 1987 (Direct),1987,1969.5,239.6789,NA,NA,23.52551,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Demographic and Health Survey 1987 (Direct),1987,1974.5,234.0148,NA,NA,16.10053,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Demographic and Health Survey 1987 (Direct),1987,1979.5,224.2842,NA,NA,13.56807,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Demographic and Health Survey 1987 (Direct),1987,1984.5,148.0289,NA,NA,10.70185,NA,Included in IGME,"Deaths per 1,000 live births",Direct,DHS,Survey/Census with Full Birth Histories,NA,NA,NA,5
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Multiple Indicator Cluster Survey 2005 (Indirect),2005,1993.2,189.6662,NA,NA,15.4267,NA,Excluded from IGME,"Deaths per 1,000 live births",Indirect,MICS,Survey/Census with Summary Birth Histories,NA,NA,NA,NA
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Multiple Indicator Cluster Survey 2005 (Indirect),2005,1996.3,162.3006,NA,NA,15.3663,NA,Included in IGME,"Deaths per 1,000 live births",Indirect,MICS,Survey/Census with Summary Birth Histories,NA,NA,NA,NA
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Multiple Indicator Cluster Survey 2005 (Indirect),2005,1999,150.1529,NA,NA,13.30375,NA,Included in IGME,"Deaths per 1,000 live births",Indirect,MICS,Survey/Census with Summary Birth Histories,NA,NA,NA,NA
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Multiple Indicator Cluster Survey 2005 (Indirect),2005,2001.5,135.7,NA,NA,12.81266,NA,Included in IGME,"Deaths per 1,000 live births",Indirect,MICS,Survey/Census with Summary Birth Histories,NA,NA,NA,NA
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Multiple Indicator Cluster Survey 2005 (Indirect),2005,2003.9,155.7805,NA,NA,21.87969,NA,Excluded from IGME,"Deaths per 1,000 live births",Indirect,MICS,Survey/Census with Summary Birth Histories,NA,NA,NA,NA
BDI,Burundi,NA,Under-five mortality rate,Female,Total,Demographic Survey 1970 (Direct),1970,1970.5,262.2,NA,NA,NA,NA,Included in IGME,"Deaths per 1,000 live births",Direct,Others,Survey/Census with Full Birth Histories,NA,NA,NA,NA
BDI,Burundi,NA,Under-five mortality rate,Female,Total,UN IGME estimate,2023,1965.5,238.206731,200.2346296,282.3442363,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Under-five mortality rate,Female,Total,UN IGME estimate,2023,1966.5,240.1271188,206.050743,279.2608204,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Under-five mortality rate,Female,Total,UN IGME estimate,2023,1967.5,242.2236734,209.9635207,278.055835,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Under-five mortality rate,Female,Total,UN IGME estimate,2023,1968.5,243.6623431,213.0865832,277.566531,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Under-five mortality rate,Female,Total,UN IGME estimate,2023,1969.5,244.9196532,215.6809787,277.6295572,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
BDI,Burundi,NA,Under-five mortality rate,Female,Total,UN IGME estimate,2023,1970.5,246.0419936,217.1186207,277.7979643,NA,NA,Normal value,"Deaths per 1,000 live births",NA,NA,NA,NA,NA,NA,1
